,f1,f2,f3,f4,f5,p1,p2,p3,p4,p5,error,mse,pearson,spearman
9975.083,17.663999571927217,279.2570756011317,244.96670745876773,170.1357201246792,248.63657963453912,0.06334657875625557,0.058042413816786376,0.05071580783265597,0.04194250749294544,0.026371044267874285,294.0801427343034,126.29119081560802,0.34155519591991185,0.2439929025176073
10002.737,126.38396277915467,143.70117210857592,194.16191452543254,67.78069147230528,343.70920568811675,0.048910725186644965,0.0445382288129364,0.040851558609335266,0.035815190045334074,0.0357100782947085,169.53256719048568,202.28171216065996,0.42383525024787644,0.2660715642267355
10014.086,306.83845867216354,67.55132446131957,318.88022674891346,217.38532438773586,206.31836610767527,0.04686599657732478,0.043935544699569076,0.037849551012966914,0.03724514094537671,0.03705380911724654,310.46463471786893,479.62500554252017,0.35160365387287557,0.21874744938000315
10015.555,109.06675344973343,272.8347992935318,126.15459576816896,236.13607753581783,289.9226416119673,0.042203269080143276,0.030480697286005456,0.0304790225284523,0.029599386722647076,0.028841399866234955,98.69029255973878,91.54911561618422,0.37870367087814116,0.2066211930647613
10016.731,348.45427735019393,200.00358932777306,62.86178975872301,85.82399981632871,158.6716112240828,0.02721348734286618,0.02496281032079398,0.024741473877369097,0.02429194811575669,0.021210088354668113,150.8655291499613,214.37829868285482,0.29122084920068836,0.23111117310902488
10024.084,51.72500070330544,210.9057063273895,314.35022828194565,11.643115533552278,274.61239362867104,0.05241388606033556,0.04916318964099665,0.048907652128215545,0.033635940142272565,0.03326273096026405,297.0624096003247,266.5917607255216,0.31314557551234223,0.1759827399669731
10028.2,103.33257817509063,330.5206025564383,193.76052225620754,114.22751119691195,67.95271673054457,0.04031271024718731,0.031288324786192104,0.031084017991739592,0.030241691042730064,0.028407518721354722,278.1708137244789,246.90576756836285,0.30135835846551234,0.09793859623488431
10046.266,332.14382471716425,130.59744562904092,114.06501692571437,70.5525830468202,190.06826554795168,0.039886143096601774,0.03820774928493304,0.03671903381384054,0.03222486773402436,0.03075268994434384,131.72988747381785,96.2628403612127,0.3678067809508336,0.25135176760131706
10061.781,267.79951452285394,147.53493934614403,257.40911447178735,344.2062684895369,5.169236988988681,0.06316532770779056,0.04885286843493665,0.044899213930046894,0.03966713480571859,0.039080672711127744,301.4563041904732,182.89749375558821,0.3413683104687152,0.15248617300125886
10063.472,135.09990919661172,127.4734560813368,313.26073497976347,261.88252451896403,211.36444034936093,0.041191128297758235,0.03844844539109208,0.036499436666439906,0.03608263040436342,0.03449535969679998,101.15178092006293,36.93196165528943,0.3483298373019892,0.19085772095164344
10069.986,232.46620536004644,349.902114984731,31.081969714591363,293.64985554048513,47.48171100006977,0.03616635831911835,0.03540162855512536,0.03249848120280186,0.030565432776752503,0.02993504591276426,320.89841294896087,330.98885828897943,0.3101749105561656,0.16298751017616492
10073.64,345.23956794212916,357.8113779486683,295.1245444914047,178.99316712506385,96.15699434225128,0.03147396025184436,0.031109148814493233,0.029319505173495207,0.027609230769547664,0.024807714950895635,181.72043975665468,134.24127052653066,0.29314449457234537,0.118921325791913
