,f1,f2,f3,f4,f5,p1,p2,p3,p4,p5,error,mse,pearson,spearman
9975.083,100.45762056784474,163.62610844019525,268.6103558900173,97.3841217981273,352.3227565915317,0.048944478451932734,0.048140833112832786,0.039563841637665756,0.03867070124685865,0.030810428000504864,181.5236325189963,45.00635455183811,0.37089374398299213,0.24245664476729945
10002.737,98.759108089843,313.9040219700637,109.67811687699705,151.17035026818246,144.69982654246155,0.05536276851673102,0.0473818121653333,0.04471241018043166,0.04332288779971868,0.03374644260388807,215.08268865977823,109.69058288873117,0.4188139083937385,0.29800036110860345
10014.086,223.15492671682773,228.97839806997658,37.69354042835178,31.950950621774457,299.5879882269062,0.05934593954205898,0.05178022274681151,0.049362828614538334,0.03731131393043849,0.03486029045298611,410.6086524176678,312.9082551288167,0.32473919014347913,0.25507953727259636
10015.555,207.70655132166902,98.27381881041393,257.85311019600624,162.73641142790862,53.30367891665351,0.03936106125753289,0.037895111534664495,0.03282348152517986,0.032674347417095385,0.031093603280980053,106.86698174323494,46.35522065218794,0.3408917264726309,0.24356315070167442
10016.731,130.30291125273249,236.41950035455562,24.590729883766905,344.8007727603811,72.63436854724476,0.050349412359409075,0.04495639502931106,0.042226261118325,0.03453344176513029,0.02946253736175531,131.97161836690455,101.1987819344823,0.3983158346600274,0.30055837580969663
10024.084,206.65509121623938,285.1101913906056,55.406599127512806,118.00891617386274,317.05840228635265,0.04527914259043344,0.036665627601708516,0.032905178157765475,0.03212284447579623,0.026240477933910194,264.6418996393725,218.62919897057918,0.3349841470039127,0.20492005907470875
10028.2,178.67007610249638,79.99458928525232,160.87613585676385,258.50016256857833,341.48462935094915,0.05494934555775862,0.04985277211964184,0.04572493624114334,0.039536371353091224,0.031044870868240922,216.97168190621272,150.0252008328923,0.39959678577124325,0.22055187184285382
10046.266,147.28803603274991,114.2883650315732,238.11801283255738,284.54402056460503,83.95778506725638,0.0707411062032851,0.05290101855255691,0.041038155594354024,0.03457206765165881,0.029061837897249056,171.33378513575585,103.03002146200052,0.3955070886598796,0.257206024864986
10061.781,111.70015554128484,317.05840228635265,56.215414593227926,279.4484831305998,205.76539420395275,0.043464707361035575,0.038808297520832105,0.036255118479900705,0.032199533974078084,0.029770883008292663,302.5042162110471,313.9072217518204,0.3316386819573573,0.18483890335471967
10063.472,50.31106169350758,209.72858998595683,138.0675397235976,311.31581247977533,159.74379420476268,0.06696471444711678,0.04542724252363261,0.044971835319150076,0.03906786247276975,0.031329385876860884,155.1328254802139,55.77597841882981,0.38476262185412835,0.2310072980489743
